Globorotalia_crassaformis,Globorotalia_hirsuta,Globorotalia_menardii_&_Globorotalia_tumida,Globorotalia_scitula,Globorotalia_truncatulinoides,Globoconella_inflata,Neogloboquadrina_dutertrei,Neogloboquadrina_incompta,Neogloboquadrina_pachyderma,Pulleniatina_obliquiloculata,Globigerina_bulloides,Globigerina_falconensis,Globigerinoides_conglobatus,Globigerinoides_ruber,Globigerinoides_white,Trilobatus_sacculifer_w_sac_chamber,Trilobatus_sacculifer_wo_sac_chamber,Globigerinoides_tenellus,Orbulina_universa,Beella_digitata,Globigerinella_siphonifera,Globigerinella_calida,Turborotalita_quinqueloba,Globoturborotalita_rubescens,Sphaeroidinella_dehiscens,Globigerinita_glutinata,unidentified original + excluídos
0,0.021645022,0.001443001,0,0.018759019,0.229437229,0.044733045,0.287157287,0.135642136,0,0.215007215,0.005772006,0.001443001,0,0.005772006,0,0.001443001,0,0,0,0,0,0.004329004,0,0,0.018759019,0.008658009
0,0.057906459,0.082405345,0,0.037861915,0.100222717,0.071269488,0.028953229,0.004454343,0.048997773,0.204899777,0.040089087,0.006681514,0.004454343,0.16481069,0.020044543,0.06013363,0,0.002227171,0,0.013363029,0.013363029,0,0,0.002227171,0.0155902,0.020044543
0,0.059734513,0.07300885,0,0.039823009,0.099557522,0.075221239,0.024336283,0,0.048672566,0.234513274,0.011061947,0.006637168,0,0.168141593,0.015486726,0.064159292,0,0.002212389,0,0.017699115,0.004424779,0,0,0.002212389,0.015486726,0.037610619
0.002398082,0.021582734,0.091127098,0,0.026378897,0.151079137,0.100719424,0.055155875,0,0.045563549,0.268585132,0.033573141,0.004796163,0,0.127098321,0.014388489,0.021582734,0,0.004796163,0,0.019184652,0.002398082,0,0,0.002398082,0,0.007194245
0.002994012,0.026946108,0.111776447,0,0.02994012,0.172654691,0.097804391,0.067864271,0.002994012,0.048902196,0.178642715,0.021956088,0.00499002,0,0.144710579,0.015968064,0.0249501,0,0.00499002,0,0.018962076,0,0,0,0.002994012,0.002994012,0.016966068
0.002673797,0.026737968,0.109625669,0,0.029411765,0.168449198,0.082887701,0.085561497,0.002673797,0.050802139,0.173796791,0.021390374,0.005347594,0,0.14171123,0.016042781,0.024064171,0,0.005347594,0,0.018716578,0,0,0,0.002673797,0.002673797,0.029411765
0,0.037280702,0.019736842,0,0.072368421,0.067982456,0.074561404,0.043859649,0.002192982,0.032894737,0.118421053,0.063596491,0.006578947,0.004385965,0.228070175,0.037280702,0.054824561,0,0.015350877,0.004385965,0.021929825,0.00877193,0,0,0.002192982,0.072368421,0.010964912
0,0.037199125,0.019693654,0,0.072210066,0.067833698,0.078774617,0.037199125,0,0.030634573,0.129102845,0.035010941,0.006564551,0,0.231947484,0.035010941,0.056892779,0,0.015317287,0.004376368,0.024070022,0.006564551,0,0,0.002188184,0.074398249,0.035010941
0,0.053789731,0.075794621,0,0.056234719,0.149144254,0.085574572,0.058679707,0.002444988,0.017114914,0.156479218,0.039119804,0.009779951,0.009779951,0.158924205,0.017114914,0.04400978,0,0.002444988,0.004889976,0.012224939,0.012224939,0,0,0,0.017114914,0.017114915
0,0.049627792,0.076923077,0,0.054590571,0.151364764,0.076923077,0.066997519,0.00248139,0.014888337,0.171215881,0.014888337,0.009925558,0.007444169,0.161290323,0.012406948,0.049627792,0,0.00248139,0.004962779,0.012406948,0.004962779,0,0,0,0.012406948,0.042183623
0.002347418,0.072769953,0.037558686,0,0.058685446,0.098591549,0.072769953,0.03286385,0,0.044600939,0.154929577,0.039906103,0.007042254,0.009389671,0.185446009,0.037558685,0.046948357,0,0.009389671,0.004694836,0.023474178,0.002347418,0,0.002347418,0,0.046948357,0.009389671
0.002364066,0.073286052,0.040189125,0,0.059101655,0.101654846,0.061465721,0.054373522,0,0.042553191,0.158392435,0.026004728,0.007092199,0.002364066,0.191489362,0.030732861,0.054373522,0,0.007092199,0.002364066,0.023640662,0,0,0,0,0.044917258,0.016548463
0,0.00678733,0.074660634,0,0.00678733,0.28280543,0.248868778,0.21719457,0.013574661,0.022624434,0.029411765,0.004524887,0.027149321,0,0.011312217,0.00678733,0.00678733,0,0.009049774,0,0,0,0,0,0,0.022624434,0.009049774
0,0.044315992,0.075144508,0,0.113680154,0.063583815,0.082851638,0,0,0.034682081,0.065510597,0.019267823,0.030828516,0,0.32177264,0.009633911,0.026974952,0,0,0.001926782,0.044315992,0.003853565,0,0,0.001926782,0.040462428,0.019267822
0,0.042296073,0.073514602,0,0.116817724,0.062437059,0.074521652,0,0,0.036253776,0.068479355,0.020140987,0.032225579,0,0.336354481,0.010070493,0.028197382,0,0,0.002014099,0.04632427,0.004028197,0,0,0.002014099,0.042296073,0.002014099
0,0.042,0.078,0,0.118,0.062,0.074,0,0,0.036,0.068,0.02,0.032,0,0.334,0.01,0.028,0,0,0.002,0.046,0.004,0,0,0.002,0.042,0.002
0,0.045275591,0.072834646,0,0.116141732,0.06496063,0.072834646,0.001968504,0,0.033464567,0.066929134,0.031496063,0.027559055,0,0.328740157,0.007874016,0.029527559,0,0,0.001968504,0.045275591,0.007874016,0,0,0.001968504,0.041338583,0.001968504
0,0.02182285,0.038510911,0.001283697,0.106546855,0.006418485,0.023106547,0.007702182,0,0.03465982,0.016688062,0.088575096,0.007702182,0.030808729,0.353016688,0.008985879,0.074454429,0.01283697,0.002567394,0,0.052631579,0.016688062,0,0.006418485,0,0.066752246,0.02182285
0.003006012,0.017034068,0.039078156,0.003006012,0.092184369,0.02004008,0.04008016,0.008016032,0,0.014028056,0.026052104,0.066132265,0.012024048,0.029058116,0.29759519,0.02004008,0.05511022,0.009018036,0.023046092,0,0.089178357,0.04008016,0,0.006012024,0,0.089178357,0.001002004
0.002747253,0.016483516,0.038461539,0.002747253,0.090659341,0.019230769,0.035714286,0,0,0.016483516,0.021978022,0.074175824,0.010989011,0.035714286,0.274725275,0.035714286,0.035714286,0.013736264,0.024725275,0,0.082417582,0.049450549,0,0.002747253,0,0.082417582,0.032967033
0,0.00621118,0.01863354,0.00931677,0.037267081,0.00310559,0.02484472,0,0,0.01863354,0.00931677,0.01242236,0.00621118,0.037267081,0.270186335,0.01242236,0.046583851,0.027950311,0.00621118,0.00310559,0.062111801,0.052795031,0.00310559,0.01552795,0,0.285714286,0.031055901
0,0.003,0.018,0.01,0.039,0.003,0.026,0,0,0.016,0.003,0.01,0.007,0.016,0.309,0.01,0.052,0.03,0.007,0,0.069,0.039,0,0.02,0,0.309,0.004
0,0.006550218,0.072052401,0,0.006550218,0.30349345,0.063318777,0.3930131,0.013100437,0.017467249,0.030567686,0.004366812,0.028384279,0,0.010917031,0.006550218,0.006550218,0,0.006550218,0,0,0,0,0,0,0.019650655,0.010917031
